date,partner_country,region,trade_type,trade_value_mn_usd
2016-11,Zambia,SADC,import,20.469
2016-11,Mozambique,SADC,import,21.206
2016-11,Singapore,Asia,import,13.995
2016-11,United States,Americas,import,11.485
2016-11,United Kingdom,Europe,import,8.39
2016-11,Botswana,SADC,import,8.778
2016-11,Other,Other,import,44.724
2016-12,South Africa,SADC,import,171.123
2016-12,China,Asia,import,89.992
2016-12,UAE,Middle East,import,42.484
2016-12,India,Asia,import,26.698
2016-12,Zambia,SADC,import,26.232
2016-12,Mozambique,SADC,import,16.128
2016-12,Singapore,Asia,import,14.226
2016-12,United States,Americas,import,11.698
2016-12,United Kingdom,Europe,import,7.281
2016-12,Botswana,SADC,import,7.648
2016-12,Other,Other,import,50.599
2017-01,South Africa,SADC,import,200.157
2017-01,China,Asia,import,122.556
2017-01,UAE,Middle East,import,43.672
2017-01,India,Asia,import,41.694
2017-01,Zambia,SADC,import,18.921
2017-01,Mozambique,SADC,import,22.277
2017-01,Singapore,Asia,import,20.792
2017-01,United States,Americas,import,16.16
2017-01,United Kingdom,Europe,import,6.582
2017-01,Botswana,SADC,import,8.431
2017-01,Other,Other,import,40.287
2017-02,South Africa,SADC,import,155.999
2017-02,China,Asia,import,106.988
2017-02,UAE,Middle East,import,41.241
2017-02,India,Asia,import,33.13
2017-02,Zambia,SADC,import,17.849
2017-02,Mozambique,SADC,import,15.084
2017-02,Singapore,Asia,import,16.616
2017-02,United States,Americas,import,15.466
2017-02,United Kingdom,Europe,import,6.988
2017-02,Botswana,SADC,import,8.762
2017-02,Other,Other,import,50.118
2017-03,South Africa,SADC,import,180.322
2017-03,China,Asia,import,93.606
2017-03,UAE,Middle East,import,31.608
2017-03,India,Asia,import,23.602
2017-03,Zambia,SADC,import,18.674
2017-03,Mozambique,SADC,import,14.091
2017-03,Singapore,Asia,import,19.362
2017-03,United States,Americas,import,17.774
2017-03,United Kingdom,Europe,import,6.486
2017-03,Botswana,SADC,import,18.591
2017-03,Other,Other,import,31.713
2017-04,South Africa,SADC,import,180.868
2017-04,China,Asia,import,91.817
2017-04,UAE,Middle East,import,38.602
2017-04,India,Asia,import,31.201
2017-04,Zambia,SADC,import,17.77
2017-04,Mozambique,SADC,import,17.29
2017-04,Singapore,Asia,import,13.742
2017-04,United States,Americas,import,13.629
2017-04,United Kingdom,Europe,import,8.166
2017-04,Botswana,SADC,import,19.441
2017-04,Other,Other,import,40.654
2017-05,South Africa,SADC,import,169.382
2017-05,China,Asia,import,91.954
2017-05,UAE,Middle East,import,42.91
2017-05,India,Asia,import,24.433
2017-05,Zambia,SADC,import,21.385
2017-05,Mozambique,SADC,import,28.105
2017-05,Singapore,Asia,import,11.714
2017-05,United States,Americas,import,11.72
2017-05,United Kingdom,Europe,import,6.806
2017-05,Botswana,SADC,import,6.658
2017-05,Other,Other,import,39.909
2017-06,South Africa,SADC,import,177.331
2017-06,China,Asia,import,106.234
2017-06,UAE,Middle East,import,35.445
2017-06,India,Asia,import,23.395
2017-06,Zambia,SADC,import,16.649
2017-06,Mozambique,SADC,import,18.819
2017-06,Singapore,Asia,import,15.22
2017-06,United States,Americas,import,22.03
2017-06,United Kingdom,Europe,import,9.594
2017-06,Botswana,SADC,import,10.547
2017-06,Other,Other,import,36.99
2017-07,South Africa,SADC,import,175.618
2017-07,China,Asia,import,108.858
2017-07,UAE,Middle East,import,48.207
2017-07,India,Asia,import,33.821
2017-07,Zambia,SADC,import,19.879
2017-07,Mozambique,SADC,import,18.525
2017-07,Singapore,Asia,import,21.243
2017-07,United States,Americas,import,13.625
2017-07,United Kingdom,Europe,import,15.658
2017-07,Botswana,SADC,import,7.196
2017-07,Other,Other,import,49.193
2017-08,South Africa,SADC,import,220.543
2017-08,China,Asia,import,124.097
2017-08,UAE,Middle East,import,56.866
2017-08,India,Asia,import,52.897
2017-08,Zambia,SADC,import,25.285
2017-08,Mozambique,SADC,import,21.244
2017-08,Singapore,Asia,import,15.89
2017-08,United States,Americas,import,14.517
2017-08,United Kingdom,Europe,import,7.219
2017-08,Botswana,SADC,import,12.009
2017-08,Other,Other,import,44.031
2017-09,South Africa,SADC,import,186.659
2017-09,China,Asia,import,108.094
2017-09,UAE,Middle East,import,43.243
2017-09,India,Asia,import,35.574
2017-09,Zambia,SADC,import,18.952
2017-09,Mozambique,SADC,import,19.404
2017-09,Singapore,Asia,import,11.832
2017-09,United States,Americas,import,11.086
2017-09,United Kingdom,Europe,import,6.213
2017-09,Botswana,SADC,import,14.763
2017-09,Other,Other,import,39.223
2017-10,South Africa,SADC,import,176.223
2017-10,China,Asia,import,108.473
2017-10,UAE,Middle East,import,36.764
2017-10,India,Asia,import,26.507
2017-10,Zambia,SADC,import,18.101
2017-10,Mozambique,SADC,import,20.968
2017-10,Singapore,Asia,import,12.583
2017-10,United States,Americas,import,12.477
2017-10,United Kingdom,Europe,import,6.197
2017-10,Botswana,SADC,import,15.954
2017-10,Other,Other,import,40.106
2017-11,South Africa,SADC,import,167.605
2017-11,China,Asia,import,102.519
2017-11,UAE,Middle East,import,54.983
2017-11,India,Asia,import,23.803
2017-11,Zambia,SADC,import,17.737
2017-11,Mozambique,SADC,import,21.638
2017-11,Singapore,Asia,import,15.392
2017-11,United States,Americas,import,19.777
2017-11,United Kingdom,Europe,import,9.563
2017-11,Botswana,SADC,import,8.269
2017-11,Other,Other,import,40.226
2017-12,South Africa,SADC,import,173.265
2017-12,China,Asia,import,98.093
2017-12,UAE,Middle East,import,40.188
2017-12,India,Asia,import,25.64
2017-12,Zambia,SADC,import,28.603
2017-12,Mozambique,SADC,import,22.747
2017-12,Singapore,Asia,import,13.604
2017-12,United States,Americas,import,13.68
2017-12,United Kingdom,Europe,import,6.98
2017-12,Botswana,SADC,import,6.687
2017-12,Other,Other,import,47.178
2018-01,South Africa,SADC,import,260.408
2018-01,China,Asia,import,119.87
2018-01,UAE,Middle East,import,55.447
2018-01,India,Asia,import,33.194
2018-01,Zambia,SADC,import,22.163
2018-01,Mozambique,SADC,import,30.895
2018-01,Singapore,Asia,import,18.205
2018-01,United States,Americas,import,18.781
2018-01,United Kingdom,Europe,import,8.875
2018-01,Botswana,SADC,import,10.314
2018-01,Other,Other,import,40.271
2018-02,South Africa,SADC,import,155.831
2018-02,China,Asia,import,109.296
2018-02,UAE,Middle East,import,36.012
2018-02,India,Asia,import,26.17
2018-02,Zambia,SADC,import,30.747
2018-02,Mozambique,SADC,import,21.627
2018-02,Singapore,Asia,import,21.697
2018-02,United States,Americas,import,18.347
2018-02,United Kingdom,Europe,import,7.354
2018-02,Botswana,SADC,import,9.216
2018-02,Other,Other,import,39.681
2018-03,South Africa,SADC,import,190.581
2018-03,China,Asia,import,102.699
2018-03,UAE,Middle East,import,34.922
2018-03,India,Asia,import,33.913
2018-03,Zambia,SADC,import,17.459
2018-03,Mozambique,SADC,import,16.684
2018-03,Singapore,Asia,import,16.469
2018-03,United States,Americas,import,15.533
2018-03,United Kingdom,Europe,import,19.428
2018-03,Botswana,SADC,import,10.963
2018-03,Other,Other,import,42.599
2018-04,South Africa,SADC,import,192.726
2018-04,China,Asia,import,128.608
2018-04,UAE,Middle East,import,40.93
2018-04,India,Asia,import,32.106
2018-04,Zambia,SADC,import,26.976
2018-04,Mozambique,SADC,import,17.506
2018-04,Singapore,Asia,import,21.078
2018-04,United States,Americas,import,12.114
2018-04,United Kingdom,Europe,import,5.872
2018-04,Botswana,SADC,import,11.341
2018-04,Other,Other,import,31.272
2018-05,South Africa,SADC,import,200.407
2018-05,China,Asia,import,115.831
2018-05,UAE,Middle East,import,41.834
2018-05,India,Asia,import,30.686
2018-05,Zambia,SADC,import,24.24
2018-05,Mozambique,SADC,import,25.659
2018-05,Singapore,Asia,import,18.677
2018-05,United States,Americas,import,14.243
2018-05,United Kingdom,Europe,import,9.184
2018-05,Botswana,SADC,import,10.436
2018-05,Other,Other,import,40.522
2018-06,South Africa,SADC,import,180.936
2018-06,China,Asia,import,133.012
2018-06,UAE,Middle East,import,47.916
2018-06,India,Asia,import,30.81
2018-06,Zambia,SADC,import,24.029
2018-06,Mozambique,SADC,import,23.45
2018-06,Singapore,Asia,import,14.081
2018-06,United States,Americas,import,14.954
2018-06,United Kingdom,Europe,import,6.524
2018-06,Botswana,SADC,import,10.446
2018-06,Other,Other,import,46.846
2018-07,South Africa,SADC,import,209.572
2018-07,China,Asia,import,120.549
2018-07,UAE,Middle East,import,47.77
2018-07,India,Asia,import,38.583
2018-07,Zambia,SADC,import,27.029
2018-07,Mozambique,SADC,import,22.964
2018-07,Singapore,Asia,import,20.41
2018-07,United States,Americas,import,14.797
2018-07,United Kingdom,Europe,import,11.567
2018-07,Botswana,SADC,import,18.367
2018-07,Other,Other,import,46.726
2018-08,South Africa,SADC,import,220.106
2018-08,China,Asia,import,116.167
2018-08,UAE,Middle East,import,60.863
2018-08,India,Asia,import,44.522
2018-08,Zambia,SADC,import,25.292
2018-08,Mozambique,SADC,import,33.295
2018-08,Singapore,Asia,import,22.093
2018-08,United States,Americas,import,16.691
2018-08,United Kingdom,Europe,import,7.333
2018-08,Botswana,SADC,import,14.374
2018-08,Other,Other,import,45.178
2018-09,South Africa,SADC,import,196.382
2018-09,China,Asia,import,112.325
2018-09,UAE,Middle East,import,49.383
2018-09,India,Asia,import,27.031
2018-09,Zambia,SADC,import,17.811
2018-09,Mozambique,SADC,import,22.281
2018-09,Singapore,Asia,import,21.326
2018-09,United States,Americas,import,18.459
2018-09,United Kingdom,Europe,import,9.339
2018-09,Botswana,SADC,import,7.585
2018-09,Other,Other,import,34.367
2018-10,South Africa,SADC,import,182.672
2018-10,China,Asia,import,117.996
2018-10,UAE,Middle East,import,46.324
2018-10,India,Asia,import,31.864
2018-10,Zambia,SADC,import,18.152
2018-10,Mozambique,SADC,import,35.401
2018-10,Singapore,Asia,import,14.846
2018-10,United States,Americas,import,20.746
2018-10,United Kingdom,Europe,import,16.205
2018-10,Botswana,SADC,import,8.764
2018-10,Other,Other,import,39.971
2018-11,South Africa,SADC,import,164.082
2018-11,China,Asia,import,116.579
2018-11,UAE,Middle East,import,39.559
2018-11,India,Asia,import,34.641
2018-11,Zambia,SADC,import,29.341
2018-11,Mozambique,SADC,import,19.529
2018-11,Singapore,Asia,import,24.681
2018-11,United States,Americas,import,13.036
2018-11,United Kingdom,Europe,import,8.272
2018-11,Botswana,SADC,import,8.956
2018-11,Other,Other,import,48.272
2018-12,South Africa,SADC,import,230.065
2018-12,China,Asia,import,118.625
2018-12,UAE,Middle East,import,42.073
2018-12,India,Asia,import,44.966
2018-12,Zambia,SADC,import,29.966
2018-12,Mozambique,SADC,import,18.849
2018-12,Singapore,Asia,import,15.194
2018-12,United States,Americas,import,15.499
2018-12,United Kingdom,Europe,import,11.814
2018-12,Botswana,SADC,import,12.624
2018-12,Other,Other,import,38.999
2019-01,South Africa,SADC,import,243.838
2019-01,China,Asia,import,155.17
2019-01,UAE,Middle East,import,61.728
2019-01,India,Asia,import,38.43
2019-01,Zambia,SADC,import,22.058
2019-01,Mozambique,SADC,import,32.027
2019-01,Singapore,Asia,import,23.037
2019-01,United States,Americas,import,16.97
2019-01,United Kingdom,Europe,import,18.156
2019-01,Botswana,SADC,import,13.592
2019-01,Other,Other,import,58.39
2019-02,South Africa,SADC,import,175.006
2019-02,China,Asia,import,101.129
2019-02,UAE,Middle East,import,44.251
2019-02,India,Asia,import,24.005
2019-02,Zambia,SADC,import,15.716
2019-02,Mozambique,SADC,import,23.893
2019-02,Singapore,Asia,import,20.174
2019-02,United States,Americas,import,10.341
2019-02,United Kingdom,Europe,import,8.628
2019-02,Botswana,SADC,import,7.322
2019-02,Other,Other,import,34.848
2019-03,South Africa,SADC,import,190.185
2019-03,China,Asia,import,118.477
2019-03,UAE,Middle East,import,44.287
2019-03,India,Asia,import,39.535
2019-03,Zambia,SADC,import,31.364
2019-03,Mozambique,SADC,import,20.325
2019-03,Singapore,Asia,import,18.161
2019-03,United States,Americas,import,21.657
2019-03,United Kingdom,Europe,import,10.491
2019-03,Botswana,SADC,import,7.914
2019-03,Other,Other,import,40.467
2019-04,South Africa,SADC,import,195.706
2019-04,China,Asia,import,122.083
2019-04,UAE,Middle East,import,56.049
2019-04,India,Asia,import,31.169
2019-04,Zambia,SADC,import,18.627
2019-04,Mozambique,SADC,import,25.568
2019-04,Singapore,Asia,import,13.756
2019-04,United States,Americas,import,13.322
2019-04,United Kingdom,Europe,import,5.978
2019-04,Botswana,SADC,import,9.75
2019-04,Other,Other,import,36.651
2019-05,South Africa,SADC,import,202.941
2019-05,China,Asia,import,114.6
2019-05,UAE,Middle East,import,37.27
2019-05,India,Asia,import,35.474
2019-05,Zambia,SADC,import,20.097
2019-05,Mozambique,SADC,import,18.308
2019-05,Singapore,Asia,import,13.747
2019-05,United States,Americas,import,15.794
2019-05,United Kingdom,Europe,import,6.342
2019-05,Botswana,SADC,import,10.539
2019-05,Other,Other,import,33.176
2019-06,South Africa,SADC,import,188.055
2019-06,China,Asia,import,108.08
2019-06,UAE,Middle East,import,46.935
2019-06,India,Asia,import,35.674
2019-06,Zambia,SADC,import,25.633
2019-06,Mozambique,SADC,import,21.801
2019-06,Singapore,Asia,import,19.947
2019-06,United States,Americas,import,26.977
2019-06,United Kingdom,Europe,import,5.622
2019-06,Botswana,SADC,import,7.982
2019-06,Other,Other,import,54.074
2019-07,South Africa,SADC,import,209.751
2019-07,China,Asia,import,153.549
2019-07,UAE,Middle East,import,51.093
2019-07,India,Asia,import,40.663
2019-07,Zambia,SADC,import,21.902
2019-07,Mozambique,SADC,import,38.096
2019-07,Singapore,Asia,import,19.537
2019-07,United States,Americas,import,14.247
2019-07,United Kingdom,Europe,import,12.796
2019-07,Botswana,SADC,import,12.235
2019-07,Other,Other,import,41.265
2019-08,South Africa,SADC,import,245.804
2019-08,China,Asia,import,128.113
2019-08,UAE,Middle East,import,52.294
2019-08,India,Asia,import,41.105
2019-08,Zambia,SADC,import,26.71
2019-08,Mozambique,SADC,import,31.864
2019-08,Singapore,Asia,import,18.228
2019-08,United States,Americas,import,21.763
2019-08,United Kingdom,Europe,import,7.312
2019-08,Botswana,SADC,import,9.492
2019-08,Other,Other,import,55.078
2019-09,South Africa,SADC,import,207.957
2019-09,China,Asia,import,108.93
2019-09,UAE,Middle East,import,44.44
2019-09,India,Asia,import,33.117
2019-09,Zambia,SADC,import,17.258
2019-09,Mozambique,SADC,import,20.461
2019-09,Singapore,Asia,import,17.413
2019-09,United States,Americas,import,23.013
2019-09,United Kingdom,Europe,import,11.835
2019-09,Botswana,SADC,import,8.767
2019-09,Other,Other,import,42.042
2019-10,South Africa,SADC,import,208.322
2019-10,China,Asia,import,158.597
2019-10,UAE,Middle East,import,43.153
2019-10,India,Asia,import,28.05
2019-10,Zambia,SADC,import,21.279
2019-10,Mozambique,SADC,import,17.087
2019-10,Singapore,Asia,import,16.615
2019-10,United States,Americas,import,16.96
2019-10,United Kingdom,Europe,import,6.018
2019-10,Botswana,SADC,import,8.996
2019-10,Other,Other,import,38.404
2019-11,South Africa,SADC,import,209.866
2019-11,China,Asia,import,137.042
2019-11,UAE,Middle East,import,42.589
2019-11,India,Asia,import,32.127
2019-11,Zambia,SADC,import,25.701
2019-11,Mozambique,SADC,import,23.306
2019-11,Singapore,Asia,import,14.995
2019-11,United States,Americas,import,23.25
2019-11,United Kingdom,Europe,import,6.736
2019-11,Botswana,SADC,import,19.014
2019-11,Other,Other,import,40.584
2019-12,South Africa,SADC,import,237.989
2019-12,China,Asia,import,135.851
2019-12,UAE,Middle East,import,59.974
2019-12,India,Asia,import,29.787
2019-12,Zambia,SADC,import,27.225
2019-12,Mozambique,SADC,import,28.64
2019-12,Singapore,Asia,import,19.094
2019-12,United States,Americas,import,27.714
2019-12,United Kingdom,Europe,import,9.413
2019-12,Botswana,SADC,import,12.033
2019-12,Other,Other,import,46.358
2020-01,South Africa,SADC,import,247.381
2020-01,China,Asia,import,131.43
2020-01,UAE,Middle East,import,53.5
2020-01,India,Asia,import,37.466
2020-01,Zambia,SADC,import,18.798
2020-01,Mozambique,SADC,import,22.659
2020-01,Singapore,Asia,import,18.495
2020-01,United States,Americas,import,18.301
2020-01,United Kingdom,Europe,import,6.787
2020-01,Botswana,SADC,import,10.102
2020-01,Other,Other,import,45.249
2020-02,South Africa,SADC,import,195.192
2020-02,China,Asia,import,107.289
2020-02,UAE,Middle East,import,48.979
2020-02,India,Asia,import,51.846
2020-02,Zambia,SADC,import,19.321
2020-02,Mozambique,SADC,import,17.845
2020-02,Singapore,Asia,import,16.552
2020-02,United States,Americas,import,12.587
2020-02,United Kingdom,Europe,import,6.336
2020-02,Botswana,SADC,import,6.659
2020-02,Other,Other,import,37.371
2020-03,South Africa,SADC,import,154.218
2020-03,China,Asia,import,90.873
2020-03,UAE,Middle East,import,43.069
2020-03,India,Asia,import,35.087
2020-03,Zambia,SADC,import,17.779
2020-03,Mozambique,SADC,import,12.816
2020-03,Singapore,Asia,import,14.611
2020-03,United States,Americas,import,14.406
2020-03,United Kingdom,Europe,import,4.834
2020-03,Botswana,SADC,import,12.064
2020-03,Other,Other,import,29.957
2020-04,South Africa,SADC,import,153.684
2020-04,China,Asia,import,104.977
2020-04,UAE,Middle East,import,37.08
2020-04,India,Asia,import,24.239
2020-04,Zambia,SADC,import,15.749
2020-04,Mozambique,SADC,import,22.79
2020-04,Singapore,Asia,import,12.275
2020-04,United States,Americas,import,11.187
2020-04,United Kingdom,Europe,import,4.16
2020-04,Botswana,SADC,import,6.844
2020-04,Other,Other,import,37.672
2020-05,South Africa,SADC,import,170.985
2020-05,China,Asia,import,97.496
2020-05,UAE,Middle East,import,50.497
2020-05,India,Asia,import,28.271
2020-05,Zambia,SADC,import,23.657
2020-05,Mozambique,SADC,import,23.008
2020-05,Singapore,Asia,import,16.493
2020-05,United States,Americas,import,11.179
2020-05,United Kingdom,Europe,import,5.835
2020-05,Botswana,SADC,import,6.25
2020-05,Other,Other,import,31.417
2020-06,South Africa,SADC,import,189.051
2020-06,China,Asia,import,115.626
2020-06,UAE,Middle East,import,47.913
2020-06,India,Asia,import,32.713
2020-06,Zambia,SADC,import,19.198
2020-06,Mozambique,SADC,import,16.022
2020-06,Singapore,Asia,import,15.294
2020-06,United States,Americas,import,12.445
